Meal_ID,Meal_Type,Meal_Name,Calories,Protein_g,Sugars_g,Fats_g,Cholesterol_mg,Iron_mg,Magnesium_mg,Calcium_mg,Potassium_mg,Manganese_mg,Vitamin_C_mg,Vitamin_D_IU
35,Snack,Banana with almonds,413.6,25.0,21.4,25.9,59.8,5.6,105.1,172.5,674.4,1.1,36.6,205.9
36,Snack,Hummus with carrots,359.0,20.7,8.4,22.1,60.6,4.5,112.1,184.5,585.1,1.2,49.2,156.1
37,Snack,Boiled eggs,560.2,24.5,16.4,23.9,96.4,4.6,71.8,187.9,586.1,2.1,51.8,170.3
38,Snack,Fruit smoothie,450.8,27.8,15.9,29.0,92.9,3.9,140.5,279.1,503.2,1.7,46.6,123.0
39,Snack,Cottage cheese cup,352.2,26.4,14.2,20.6,41.9,6.5,93.1,248.9,598.6,1.0,65.7,180.7
40,Snack,Popcorn,584.6,25.9,26.3,27.0,89.5,5.1,87.4,303.8,658.9,1.5,48.5,252.4
41,Beverage,Milk,149,8,12,8,24,0,27,276,322,0,0,124
42,Beverage,Orange juice,112,2,21,0.5,0,0.5,27,27,496,0,124,0
43,Beverage,Honey topped coffee and cream,95,1,10,5,15,0,7,30,115,0,0,0
44,Beverage,Green tea,2,0,0,0,0,0,1,0,20,0,0,0
45,Beverage,Water,0,0,0,0,0,0,0,0,0,0,0,0
46,Beverage,Protein shake,150,25,5,3,10,1,40,200,300,0,0,0
47,Beverage,Fruit smoothie,150,2,25,1,0,0.5,20,40,350,0,30,0
48,Beverage,Chocolate milk,208,8,25,5,20,0.6,33,280,420,0,0,100
49,Beverage,Sparkling water,0,0,0,0,0,0,0,0,0,0,0,0
50,Beverage,Herbal tea,2,0,0,0,0,0,1,5,20,0,0,0
