Meal_ID,Meal_Type,Meal_Name,Related_Beverage,Calories,Protein_g,Sugars_g,Fats_g,Cholesterol_mg,Iron_mg,Magnesium_mg,Calcium_mg,Potassium_mg,Manganese_mg,Vitamin_C_mg,Vitamin_D_IU
26,Dinner,Chicken fajitas,Protein shake,513,13.3,24.4,2.5,93.0,3.4,179.6,390.1,377.7,2.1,54.8,309.4
27,Dinner,Vegetable soup with bread,Fruit smoothie,827,27.5,30.1,37.5,83.9,2.7,50.5,247.5,175.4,2.0,17.7,142.0
28,Dinner,Baked chicken thighs with carrots,Chocolate milk,165,7.5,18.2,17.5,109.1,2.5,63.0,372.4,881.3,1.6,8.8,79.9
29,Dinner,Shrimp and rice bowl,Sparkling water,517,33.2,27.9,27.7,61.5,7.4,59.7,71.5,621.0,2.3,12.8,26.7
30,Dinner,Lentil curry with rice,Herbal tea,661,7.6,19.4,34.2,45.9,2.4,105.8,369.4,267.3,1.6,22.6,43.3
31,Snack,Apple slices with peanut butter,Milk,598,22.8,28.0,35.9,83.3,8.0,142.4,322.0,169.2,2.0,20.1,55.6
32,Snack,String cheese and crackers,Orange juice,659,27.2,8.0,2.9,97.8,2.3,110.3,478.1,355.9,0.3,12.4,238.5
33,Snack,Trail mix,Honey topped coffee and cream,403,11.1,21.5,13.6,117.0,7.2,128.3,452.9,282.3,1.2,76.4,268.5
34,Snack,Greek yogurt cup,Green tea,320,11.6,23.0,25.5,87.5,4.0,37.3,376.5,700.5,1.2,71.1,154.5
35,Snack,Banana with almonds,Water,276,40.5,13.1,34.5,50.5,4.1,162.1,102.7,646.1,2.1,4.7,147.2
36,Snack,Hummus with carrots,Protein shake,570,25.8,4.7,22.2,59.3,4.2,128.5,123.1,775.2,2.4,16.5,109.6
37,Snack,Boiled eggs,Fruit smoothie,420,6.2,24.3,19.2,85.3,2.2,42.0,58.6,306.2,2.5,22.4,299.5
38,Snack,Fruit smoothie,Chocolate milk,734,39.8,13.5,30.0,168.7,4.0,151.5,252.5,294.0,2.0,69.3,223.6
39,Snack,Cottage cheese cup,Sparkling water,508,35.0,30.4,3.6,27.2,7.6,69.4,202.8,564.2,1.1,54.9,300.6
40,Snack,Popcorn,Herbal tea,733,10.3,27.1,36.9,47.7,7.8,67.7,319.0,653.9,2.0,41.5,342.4
41,Breakfast,Greek yogurt with granola and berries,Milk,254,44.9,30.0,19.9,113.7,5.9,171.8,374.3,560.9,2.3,66.1,20.6
42,Breakfast,Scrambled eggs with toast,Orange juice,800,17.7,29.1,15.0,149.7,7.0,61.7,470.8,897.3,1.1,24.7,356.1
43,Breakfast,Oatmeal with banana and peanut butter,Honey topped coffee and cream,744,20.6,34.2,4.1,121.8,2.4,141.4,176.6,447.1,0.6,87.9,393.1
44,Breakfast,Egg and cheese breakfast burrito,Green tea,453,28.8,19.0,38.1,135.7,3.2,62.2,97.3,795.9,0.7,20.1,345.7
45,Breakfast,Whole grain pancakes with fruit,Water,335,17.5,3.5,29.3,159.2,6.2,55.1,199.9,433.3,0.4,23.2,278.4
46,Breakfast,Cottage cheese with pineapple,Protein shake,432,26.8,30.2,13.8,17.1,3.1,117.0,214.7,603.7,1.7,50.6,367.1
47,Breakfast,Avocado toast with eggs,Fruit smoothie,225,28.1,21.3,35.1,164.0,5.0,93.6,56.1,201.4,0.6,58.6,15.8
48,Breakfast,Protein smoothie with spinach,Chocolate milk,491,8.0,5.4,33.8,29.1,3.3,78.2,70.4,848.0,1.1,1.7,156.0
49,Breakfast,Honey topped coffee and cream with eggs,Sparkling water,375,43.2,5.1,38.5,32.3,3.5,95.7,88.0,326.8,2.4,43.7,378.6
50,Breakfast,Whole grain cereal with milk,Herbal tea,486,40.2,28.8,38.4,97.7,4.4,112.8,323.7,367.0,2.1,78.1,199.1
51,Lunch,Peanut butter and jelly sandwich,Milk,210,25.9,24.0,24.5,12.4,5.6,171.4,307.4,878.9,0.7,81.4,230.8
52,Lunch,Turkey and cheese wrap,Orange juice,793,24.1,20.8,28.6,168.2,7.6,83.2,499.7,408.1,1.2,87.9,378.1
53,Lunch,Chicken salad with greens,Honey topped coffee and cream,416,12.2,17.4,11.7,132.8,5.8,94.8,220.4,633.6,0.5,56.6,115.1
54,Lunch,Ham sandwich with fruit,Green tea,161,11.7,15.8,33.8,119.0,3.8,147.3,217.1,515.1,1.7,24.3,385.7
55,Lunch,Bean and rice bowl,Water,618,8.9,7.8,28.8,121.9,5.0,172.3,187.3,196.0,0.6,46.6,120.3
56,Lunch,Chicken quesadilla,Protein shake,610,23.0,12.8,22.1,116.0,2.8,86.5,239.1,379.0,1.8,26.0,20.1
57,Lunch,Tuna salad sandwich,Fruit smoothie,600,28.9,1.4,7.2,70.0,2.9,156.4,101.1,436.9,0.7,8.9,63.1
58,Lunch,Greek yogurt parfait,Chocolate milk,642,16.3,27.0,5.5,118.6,4.7,158.5,438.5,652.0,2.1,6.2,8.8
59,Lunch,Pasta salad with vegetables,Sparkling water,798,24.7,15.6,19.2,78.9,5.7,142.6,223.4,377.1,2.0,35.0,396.3
60,Lunch,Grilled cheese and tomato soup,Herbal tea,825,11.1,7.8,11.1,31.9,2.8,112.6,250.9,182.3,2.2,63.7,341.8
61,Dinner,Grilled chicken with rice and broccoli,Milk,467,14.9,27.6,10.9,42.0,6.8,172.8,400.3,189.7,1.0,21.9,208.8
62,Dinner,Salmon with sweet potato,Orange juice,195,13.6,21.6,18.7,106.5,4.6,82.5,180.7,260.3,1.2,63.7,56.1
63,Dinner,Turkey chili with beans,Honey topped coffee and cream,800,22.2,1.3,32.4,82.4,4.5,104.0,354.3,588.6,1.1,27.9,121.5
64,Dinner,Beef stir fry with vegetables,Green tea,580,36.7,27.1,20.9,49.2,6.3,103.8,248.9,757.7,0.9,85.2,25.8
65,Dinner,Whole wheat spaghetti with meat sauce,Water,520,42.5,5.0,14.9,91.6,4.2,89.4,454.8,531.3,1.1,65.2,91.5
66,Dinner,Chicken fajitas,Protein shake,439,26.1,21.2,16.6,144.4,3.5,61.8,78.1,494.0,1.2,27.8,30.2
67,Dinner,Vegetable soup with bread,Fruit smoothie,294,23.1,24.4,11.7,122.7,4.5,74.0,253.0,245.9,2.2,72.3,95.2
68,Dinner,Baked chicken thighs with carrots,Chocolate milk,813,32.2,24.0,36.1,156.5,4.1,102.0,340.0,387.0,2.0,82.8,374.0
69,Dinner,Shrimp and rice bowl,Sparkling water,458,19.4,8.0,30.2,0.2,2.1,119.9,254.6,503.0,0.9,44.2,370.3
70,Dinner,Lentil curry with rice,Herbal tea,408,19.5,8.4,33.1,149.5,7.5,97.0,202.2,818.5,1.4,57.5,167.3
71,Snack,Apple slices with peanut butter,Milk,203,26.5,16.9,29.1,40.7,2.5,134.6,184.6,391.0,2.0,73.0,167.1
72,Snack,String cheese and crackers,Orange juice,334,29.4,21.1,32.5,130.0,2.4,121.1,122.4,384.2,2.3,43.5,286.6
73,Snack,Trail mix,Honey topped coffee and cream,407,21.0,2.0,18.7,72.2,3.5,118.1,356.4,514.8,0.4,46.3,377.7
74,Snack,Greek yogurt cup,Green tea,549,40.1,6.3,30.0,21.0,2.9,49.2,109.1,711.2,1.5,14.5,266.3
75,Snack,Banana with almonds,Water,170,8.0,33.7,20.0,44.0,6.8,100.6,88.2,868.7,0.9,52.8,309.5
76,Snack,Hummus with carrots,Protein shake,464,14.7,14.8,35.7,97.7,5.6,47.0,51.6,503.7,0.7,62.8,294.1
77,Snack,Boiled eggs,Fruit smoothie,816,13.0,28.4,15.6,135.1,6.4,36.3,172.1,879.6,2.4,55.0,142.3
78,Snack,Fruit smoothie,Chocolate milk,443,9.9,7.3,32.5,71.6,4.6,119.7,304.6,639.7,0.6,84.3,254.3
79,Snack,Cottage cheese cup,Sparkling water,391,24.7,4.7,16.9,63.7,5.4,48.9,95.8,478.1,1.1,81.0,12.2
80,Snack,Popcorn,Herbal tea,604,22.9,24.2,21.9,132.4,6.5,71.2,244.5,563.7,1.0,43.8,340.0
81,Breakfast,Greek yogurt with granola and berries,Milk,173,6.7,29.0,33.1,71.7,5.1,41.7,50.5,184.6,2.0,65.4,148.6
82,Breakfast,Scrambled eggs with toast,Orange juice,587,32.0,30.5,29.5,125.5,4.6,105.7,293.1,313.5,2.4,45.5,301.2
83,Breakfast,Oatmeal with banana and peanut butter,Honey topped coffee and cream,264,28.3,2.4,30.7,148.8,4.0,106.8,454.0,405.6,1.6,64.8,383.2
84,Breakfast,Egg and cheese breakfast burrito,Green tea,748,32.3,13.3,11.4,51.9,2.6,170.5,467.0,510.7,0.4,27.7,63.6
85,Breakfast,Whole grain pancakes with fruit,Water,447,42.9,14.1,14.3,38.1,7.0,91.7,325.8,881.2,2.2,5.6,377.7
86,Breakfast,Cottage cheese with pineapple,Protein shake,808,34.8,29.2,37.6,4.5,4.8,65.5,71.1,690.0,1.1,30.8,36.7
87,Breakfast,Avocado toast with eggs,Fruit smoothie,796,14.7,5.3,6.4,29.1,6.3,175.2,127.0,500.0,2.2,41.8,376.5
88,Breakfast,Protein smoothie with spinach,Chocolate milk,230,19.8,16.7,28.4,80.0,2.6,110.7,345.2,447.0,0.5,44.5,143.2
89,Breakfast,Honey topped coffee and cream with eggs,Sparkling water,246,14.3,33.8,5.5,49.5,6.7,49.3,387.5,768.3,1.9,24.4,174.2
90,Breakfast,Whole grain cereal with milk,Herbal tea,644,11.8,29.8,17.0,51.7,7.2,39.0,107.8,766.2,2.0,73.3,205.4
91,Lunch,Peanut butter and jelly sandwich,Milk,709,35.0,12.6,17.4,48.6,3.6,78.3,297.7,524.0,1.2,71.5,386.1
92,Lunch,Turkey and cheese wrap,Orange juice,846,29.3,15.5,23.9,127.6,4.0,83.9,191.2,373.1,1.6,10.2,326.5
93,Lunch,Chicken salad with greens,Honey topped coffee and cream,661,7.0,31.4,25.1,26.9,6.2,53.8,299.3,413.8,1.0,24.0,394.6
94,Lunch,Ham sandwich with fruit,Green tea,220,32.5,15.9,32.7,99.7,4.1,160.7,389.6,199.1,0.8,71.2,116.4
95,Lunch,Bean and rice bowl,Water,162,15.8,24.9,8.4,78.2,5.9,55.2,328.2,625.0,2.5,53.6,30.5
96,Lunch,Chicken quesadilla,Protein shake,326,19.4,25.6,39.4,52.0,7.9,125.7,301.1,696.8,2.1,1.9,262.3
97,Lunch,Tuna salad sandwich,Fruit smoothie,236,25.7,27.5,4.9,43.5,3.7,141.4,473.0,597.9,1.1,49.7,224.0
98,Lunch,Greek yogurt parfait,Chocolate milk,164,30.2,14.3,39.0,103.7,2.7,95.2,317.7,313.5,1.4,22.6,75.3
99,Lunch,Pasta salad with vegetables,Sparkling water,520,12.5,2.9,8.1,75.0,2.4,54.5,492.7,469.8,2.1,28.6,19.3
100,Lunch,Grilled cheese and tomato soup,Herbal tea,170,28.4,22.0,6.6,1.6,3.7,35.7,58.2,629.8,0.3,55.1,371.9
101,Dinner,Grilled chicken with rice and broccoli,Milk,748,25.2,24.0,14.6,129.5,6.9,123.5,205.7,461.5,0.4,68.7,393.2
102,Dinner,Salmon with sweet potato,Orange juice,241,25.9,26.6,20.5,83.0,7.7,65.4,148.2,382.9,2.3,10.2,377.9
103,Dinner,Turkey chili with beans,Honey topped coffee and cream,417,10.1,26.7,12.3,63.6,6.4,109.6,217.3,155.0,2.4,44.7,116.6
104,Dinner,Beef stir fry with vegetables,Green tea,270,37.1,16.0,28.7,175.2,5.1,144.0,486.4,515.0,0.8,58.1,310.3
105,Dinner,Whole wheat spaghetti with meat sauce,Water,722,30.4,30.7,2.3,150.3,7.8,44.6,234.1,662.7,1.3,64.2,266.9
106,Dinner,Chicken fajitas,Protein shake,614,23.2,17.3,18.3,81.2,2.4,169.8,57.9,680.0,1.4,28.8,18.4
107,Dinner,Vegetable soup with bread,Fruit smoothie,637,23.6,15.0,9.4,137.2,3.4,61.0,428.8,446.1,2.5,32.3,14.0
108,Dinner,Baked chicken thighs with carrots,Chocolate milk,508,5.3,1.4,9.8,27.8,5.8,70.1,336.5,181.1,2.4,77.0,211.1
109,Dinner,Shrimp and rice bowl,Sparkling water,214,10.7,26.5,18.3,88.9,2.1,163.0,173.0,465.1,1.3,14.9,325.1
110,Dinner,Lentil curry with rice,Herbal tea,251,23.4,3.6,26.7,58.0,2.2,179.5,455.6,412.5,0.5,86.4,296.1
111,Snack,Apple slices with peanut butter,Milk,281,37.7,27.6,22.8,58.9,7.5,157.4,162.7,513.5,1.2,74.8,142.4
112,Snack,String cheese and crackers,Orange juice,222,28.3,33.9,9.7,173.2,3.3,87.1,264.9,593.7,0.3,26.7,238.2
113,Snack,Trail mix,Honey topped coffee and cream,799,11.4,11.7,16.9,17.4,4.1,88.5,203.1,514.8,0.5,11.1,218.9
114,Snack,Greek yogurt cup,Green tea,209,19.7,21.5,3.6,91.8,5.2,168.7,66.0,531.9,2.4,68.9,336.0
115,Snack,Banana with almonds,Water,505,34.2,6.7,35.7,0.6,7.5,89.4,158.1,792.6,0.7,81.1,109.2
116,Snack,Hummus with carrots,Protein shake,416,19.6,12.5,22.3,23.0,3.9,158.9,419.0,514.2,1.9,63.1,6.1
117,Snack,Boiled eggs,Fruit smoothie,823,37.1,15.2,33.2,65.2,3.8,129.3,385.8,638.7,1.5,77.3,130.8
118,Snack,Fruit smoothie,Chocolate milk,686,39.0,18.8,21.3,3.2,2.4,92.6,74.1,435.5,2.3,19.2,86.3
119,Snack,Cottage cheese cup,Sparkling water,283,30.8,19.7,33.7,1.2,7.1,169.7,415.6,841.9,0.9,72.5,241.5
120,Snack,Popcorn,Herbal tea,782,35.0,21.3,35.8,50.7,2.3,148.8,323.4,895.8,1.3,78.1,251.6
121,Breakfast,Greek yogurt with granola and berries,Milk,337,38.3,32.3,23.6,133.9,4.8,121.1,78.5,265.2,1.7,15.3,87.1
122,Breakfast,Scrambled eggs with toast,Orange juice,659,24.6,18.2,30.2,8.4,6.2,121.9,418.4,457.0,0.4,31.6,302.7
123,Breakfast,Oatmeal with banana and peanut butter,Honey topped coffee and cream,546,27.3,14.2,13.3,94.2,6.7,71.9,229.0,445.7,0.6,77.8,233.0
124,Breakfast,Egg and cheese breakfast burrito,Green tea,365,12.7,23.7,36.5,58.5,4.6,90.1,106.1,449.9,1.9,3.7,265.4
125,Breakfast,Whole grain pancakes with fruit,Water,659,29.5,32.3,13.2,90.5,6.6,81.6,172.1,399.6,1.1,15.0,254.2
126,Breakfast,Cottage cheese with pineapple,Protein shake,317,29.2,14.8,7.5,139.6,2.5,107.3,84.2,389.3,1.3,33.0,306.1
127,Breakfast,Avocado toast with eggs,Fruit smoothie,418,43.8,1.5,10.3,148.4,2.0,88.1,203.0,750.7,2.0,85.6,166.3
128,Breakfast,Protein smoothie with spinach,Chocolate milk,320,20.0,29.0,9.6,55.8,2.8,177.1,210.8,393.8,2.2,56.4,313.1
129,Breakfast,Honey topped coffee and cream with eggs,Sparkling water,465,34.1,24.9,8.3,51.2,2.8,169.6,337.0,810.5,0.3,76.9,87.4
130,Breakfast,Whole grain cereal with milk,Herbal tea,428,34.7,2.3,7.4,31.5,4.1,67.7,318.9,320.4,0.9,23.3,135.8
131,Lunch,Peanut butter and jelly sandwich,Milk,410,23.4,25.2,23.6,157.7,2.4,165.2,166.9,152.3,2.2,40.8,144.2
132,Lunch,Turkey and cheese wrap,Orange juice,624,35.8,3.3,33.4,112.8,7.2,126.3,70.6,328.4,2.3,58.3,48.2
133,Lunch,Chicken salad with greens,Honey topped coffee and cream,682,39.7,34.2,19.0,52.0,4.4,178.1,229.9,225.8,0.2,47.0,237.3
134,Lunch,Ham sandwich with fruit,Green tea,661,10.0,32.7,13.1,136.7,4.3,105.3,410.9,245.0,0.7,77.2,200.7
135,Lunch,Bean and rice bowl,Water,796,13.1,21.9,13.9,27.8,4.7,125.6,193.1,601.9,1.7,58.6,356.5
136,Lunch,Chicken quesadilla,Protein shake,462,20.6,29.0,21.3,157.0,4.1,147.8,204.4,157.9,1.7,12.3,13.6
137,Lunch,Tuna salad sandwich,Fruit smoothie,313,38.8,25.0,6.2,127.5,7.6,129.8,417.8,211.6,1.6,51.4,118.7
138,Lunch,Greek yogurt parfait,Chocolate milk,604,19.4,30.3,36.6,170.9,2.5,99.2,153.7,223.7,2.1,27.3,220.1
139,Lunch,Pasta salad with vegetables,Sparkling water,768,27.1,29.3,37.8,110.4,3.5,121.7,117.5,239.8,1.2,27.8,167.4
140,Lunch,Grilled cheese and tomato soup,Herbal tea,371,36.6,3.3,21.6,154.9,6.2,116.1,363.1,566.1,2.0,5.9,384.1
141,Dinner,Grilled chicken with rice and broccoli,Milk,664,38.9,32.9,26.1,67.9,4.7,145.0,249.3,826.1,1.3,32.3,95.6
142,Dinner,Salmon with sweet potato,Orange juice,334,19.3,27.8,20.2,108.0,5.7,72.2,248.1,736.7,1.8,49.8,353.7
143,Dinner,Turkey chili with beans,Honey topped coffee and cream,767,32.3,32.6,3.8,12.7,4.3,121.4,135.6,611.2,1.5,71.0,157.2
144,Dinner,Beef stir fry with vegetables,Green tea,589,14.9,30.9,18.7,143.3,2.2,51.6,423.7,878.9,1.8,55.4,223.0
145,Dinner,Whole wheat spaghetti with meat sauce,Water,654,27.3,11.5,20.8,76.7,4.2,118.1,195.1,677.3,0.6,16.6,376.3
146,Dinner,Chicken fajitas,Protein shake,342,8.4,35.0,11.6,176.0,8.0,63.8,362.1,717.0,0.9,61.6,13.2
147,Dinner,Vegetable soup with bread,Fruit smoothie,627,10.5,5.5,26.4,138.9,6.3,71.6,313.7,746.6,2.1,2.2,358.5
148,Dinner,Baked chicken thighs with carrots,Chocolate milk,842,39.7,10.7,30.5,21.1,2.6,128.6,457.7,585.6,0.2,82.8,372.0
149,Dinner,Shrimp and rice bowl,Sparkling water,279,26.6,31.6,32.2,36.1,3.4,38.7,438.9,569.0,1.5,26.6,247.0
150,Dinner,Lentil curry with rice,Herbal tea,589,10.3,23.9,9.4,135.0,3.0,125.6,385.7,414.3,1.1,32.8,2.3
151,Snack,Apple slices with peanut butter,Milk,297,38.2,9.9,30.8,83.4,6.3,84.9,318.0,386.1,1.3,12.8,261.9
152,Snack,String cheese and crackers,Orange juice,634,30.9,31.4,32.5,82.1,5.8,108.5,297.1,355.4,1.2,79.2,139.9
153,Snack,Trail mix,Honey topped coffee and cream,542,18.1,33.9,34.3,175.7,6.9,40.4,396.3,367.2,1.9,54.8,212.8
154,Snack,Greek yogurt cup,Green tea,670,19.8,7.7,5.0,89.2,3.0,75.4,471.4,326.2,1.2,12.2,229.1
155,Snack,Banana with almonds,Water,459,13.7,23.5,14.6,174.2,5.1,43.8,439.2,361.0,0.7,3.6,224.3
156,Snack,Hummus with carrots,Protein shake,175,33.8,8.6,11.1,51.6,2.6,146.5,123.9,596.3,0.3,56.8,182.7
157,Snack,Boiled eggs,Fruit smoothie,185,36.2,13.0,30.6,45.4,4.7,45.7,227.8,854.5,1.8,86.3,14.7
158,Snack,Fruit smoothie,Chocolate milk,164,8.4,34.9,29.0,148.4,6.5,175.3,417.3,366.5,2.2,54.6,48.2
159,Snack,Cottage cheese cup,Sparkling water,163,33.7,5.7,18.9,83.4,6.4,34.5,118.7,449.3,0.4,86.8,268.9
160,Snack,Popcorn,Herbal tea,465,44.3,24.8,13.4,62.6,3.3,58.4,263.3,843.3,0.7,13.3,238.2
161,Breakfast,Greek yogurt with granola and berries,Milk,484,38.3,33.9,32.5,123.6,4.7,90.8,126.7,300.5,1.2,35.3,285.5
162,Breakfast,Scrambled eggs with toast,Orange juice,471,26.8,22.6,16.0,11.7,5.4,86.7,415.4,539.2,0.9,35.8,188.2
163,Breakfast,Oatmeal with banana and peanut butter,Honey topped coffee and cream,662,44.1,20.3,25.5,1.0,3.4,91.4,352.4,798.6,0.6,77.2,61.2
164,Breakfast,Egg and cheese breakfast burrito,Green tea,583,26.4,32.8,9.6,179.1,7.4,134.7,410.2,512.7,0.4,2.9,255.8
165,Breakfast,Whole grain pancakes with fruit,Water,713,40.1,23.1,18.8,124.1,3.3,66.7,332.8,689.7,0.9,53.8,388.5
166,Breakfast,Cottage cheese with pineapple,Protein shake,403,20.5,19.3,34.8,82.5,6.5,117.1,221.3,165.5,1.4,19.1,143.5
167,Breakfast,Avocado toast with eggs,Fruit smoothie,534,9.7,13.3,11.9,87.8,2.6,33.0,383.6,615.8,2.5,1.0,269.2
168,Breakfast,Protein smoothie with spinach,Chocolate milk,421,38.2,2.2,27.7,136.6,7.1,93.2,261.9,527.0,2.0,41.1,100.7
169,Breakfast,Honey topped coffee and cream with eggs,Sparkling water,607,16.6,14.9,21.8,29.4,6.5,84.0,459.5,812.4,0.4,86.7,306.2
170,Breakfast,Whole grain cereal with milk,Herbal tea,786,29.2,4.6,3.7,137.1,7.1,50.0,209.1,864.8,0.5,16.5,145.9
171,Lunch,Peanut butter and jelly sandwich,Milk,722,25.8,23.3,22.1,163.5,4.5,40.8,389.7,423.7,1.6,13.4,171.4
172,Lunch,Turkey and cheese wrap,Orange juice,373,17.7,20.3,34.3,24.4,6.1,177.6,150.2,456.7,0.6,47.8,142.5
173,Lunch,Chicken salad with greens,Honey topped coffee and cream,778,22.7,34.8,29.2,30.9,6.5,113.9,440.8,437.2,2.5,89.3,49.0
174,Lunch,Ham sandwich with fruit,Green tea,778,9.7,30.2,39.3,167.3,2.3,90.5,291.7,544.1,2.0,15.3,378.2
175,Lunch,Bean and rice bowl,Water,630,29.1,8.2,16.0,127.7,2.2,165.4,363.8,438.8,2.2,10.5,198.9
176,Lunch,Chicken quesadilla,Protein shake,619,25.8,27.3,31.2,74.9,5.4,65.5,126.0,824.6,2.5,65.0,307.4
177,Lunch,Tuna salad sandwich,Fruit smoothie,165,7.5,21.4,7.1,164.6,3.8,173.7,256.8,848.4,0.8,68.2,310.7
178,Lunch,Greek yogurt parfait,Chocolate milk,233,30.1,6.7,8.3,166.1,5.2,66.0,227.5,648.2,2.2,70.0,101.6
179,Lunch,Pasta salad with vegetables,Sparkling water,756,37.7,11.2,28.5,5.2,3.9,105.8,332.8,473.4,0.9,82.7,72.3
180,Lunch,Grilled cheese and tomato soup,Herbal tea,736,36.9,14.9,7.1,80.8,7.8,70.9,334.2,395.4,1.5,50.7,267.2
181,Dinner,Grilled chicken with rice and broccoli,Milk,306,34.4,10.5,30.9,23.0,5.2,30.3,308.9,898.9,2.3,2.4,27.9
182,Dinner,Salmon with sweet potato,Orange juice,754,30.1,30.9,22.4,64.9,3.3,37.7,77.2,549.5,2.2,25.1,265.8
183,Dinner,Turkey chili with beans,Honey topped coffee and cream,350,41.1,2.1,2.4,101.5,3.0,78.7,178.3,677.5,0.5,13.5,77.9
184,Dinner,Beef stir fry with vegetables,Green tea,741,36.6,19.0,6.4,17.7,2.3,127.0,346.2,262.9,0.5,9.4,393.9
185,Dinner,Whole wheat spaghetti with meat sauce,Water,390,41.5,19.8,9.1,70.1,7.0,98.2,457.9,582.4,1.9,19.8,296.5
186,Dinner,Chicken fajitas,Protein shake,264,44.6,19.2,28.1,144.6,4.2,46.7,465.1,532.5,2.4,42.1,178.4
187,Dinner,Vegetable soup with bread,Fruit smoothie,152,13.5,25.9,36.8,30.2,7.4,96.6,442.4,637.4,1.7,53.8,235.2
188,Dinner,Baked chicken thighs with carrots,Chocolate milk,702,28.7,15.9,23.5,69.8,7.5,163.1,72.6,537.7,2.4,32.6,35.0
189,Dinner,Shrimp and rice bowl,Sparkling water,666,24.9,21.2,30.9,151.0,7.7,41.9,489.3,637.3,1.2,76.6,33.5
190,Dinner,Lentil curry with rice,Herbal tea,662,11.7,30.6,5.5,98.5,4.0,111.8,86.4,646.3,0.2,48.6,178.0
191,Snack,Apple slices with peanut butter,Milk,353,38.2,33.7,21.2,35.7,3.2,163.0,151.7,180.9,2.2,25.1,226.2
192,Snack,String cheese and crackers,Orange juice,700,22.9,32.8,25.3,151.3,5.4,87.2,407.5,418.4,1.1,32.6,166.4
